Index,ProblemSize,Threads,Operation,AvgSqTime,AvgParTime,AvgSpeedup
513,427707,37,0,0.0049005,0.004392,1.1163925
514,428063,3,0,0.004666,0.0014290000000000001,3.2661355
515,433567,30,0,0.0049155,0.0039040000000000004,1.2767214999999998
516,436153,12,0,0.004929,0.0024075,2.140836
517,441305,36,0,0.0065505,0.003946,1.6609414999999998
518,447674,32,0,0.006675,0.004233,1.5824665
519,460995,48,0,0.005381,0.0051525,1.046621
520,462003,45,0,0.005357,0.0050565,1.059985
521,462574,59,0,0.0053855,0.006086,0.8869115000000001
522,462656,4,0,0.0052499999999999995,0.0017504999999999999,3.0124684999999998
523,472532,25,0,0.005497999999999999,0.0030945,1.7816135
524,487851,12,0,0.00569,0.002171,2.642639
525,495753,27,0,0.0057955,0.0034175,1.7031635
526,496482,28,0,0.0058565,0.0033965,1.7266395
527,502128,36,0,0.005889,0.004198,1.4031829999999998
528,508320,63,0,0.0065535,0.006839,0.958196
529,513845,18,0,0.006131,0.0027229999999999997,2.268515
530,517082,10,0,0.0060955,0.002291,2.7697044999999996
531,517417,23,0,0.0062015,0.0031695,1.9649100000000002
532,526182,35,0,0.0065544999999999996,0.004366500000000001,1.5127085
533,526245,44,0,0.006488000000000001,0.0052580000000000005,1.251066
534,528696,51,0,0.006387,0.0057395,1.113497
535,539075,35,0,0.0064965,0.004271499999999999,1.523325
536,545381,14,0,0.006538,0.0027275,2.4916514999999997
537,553231,50,0,0.006735,0.00621,1.0885574999999998
538,562197,8,0,0.006808,0.0019175,3.682487
539,569140,50,0,0.006879,0.005650499999999999,1.2226785
540,572334,57,0,0.0075855,0.0064104999999999995,1.1818680000000001
541,574112,40,0,0.006954,0.004492,1.5487765
542,577697,32,0,0.007041,0.0040219999999999995,1.7648295
543,594246,49,0,0.005844,0.00581,1.0062725
544,599584,14,0,0.005801000000000001,0.0026205,2.250582
545,602047,32,0,0.005912000000000001,0.00442,1.3378264999999998
546,602738,1,0,0.005657499999999999,0.004309,1.3130009999999999
547,603703,59,0,0.0059755,0.006757,0.885041
548,603968,64,0,0.0059705,0.007436,0.8052495
549,609610,26,0,0.005995,0.004007500000000001,1.5270375
550,614717,20,0,0.007628,0.0030905,2.477526
551,621901,61,0,0.0077415,0.006569500000000001,1.1784215
552,636386,60,0,0.0083705,0.0068205,1.2270085000000002
553,642535,38,0,0.008166,0.0050620000000000005,1.6215755
554,650686,55,0,0.008881,0.0062734999999999996,1.4148550000000002
555,675518,60,0,0.0070290000000000005,0.006583,1.067743
556,678305,40,0,0.007056,0.0058925,1.2011924999999999
557,682790,11,0,0.0070504999999999995,0.0024535,2.9225375
558,689618,4,0,0.0070515000000000005,0.0020145,3.522717
559,697700,15,0,0.0072435,0.00324,2.2978405
560,706668,32,0,0.008994,0.0043045,2.0959035
561,721942,3,0,0.007526,0.002333,3.226128
562,726032,47,0,0.007749000000000001,0.0057085,1.3608514999999999
563,730755,26,0,0.007813,0.0042925,1.8812944999999999
564,743438,35,0,0.007974,0.004672,1.7081895
565,756282,48,0,0.0082215,0.0057605,1.4295145
566,768176,18,0,0.008329,0.0032525,2.5773145
567,809804,3,0,0.008757999999999998,0.00347,2.5391985
568,810356,56,0,0.0090205,0.006859,1.3214195
569,812746,17,0,0.008858,0.002977,2.995591
570,821985,7,0,0.008996500000000001,0.0032969999999999996,2.830936
571,827122,12,0,0.0093855,0.0027675,3.4134510000000002
572,828977,15,0,0.0092445,0.003816,2.6452765
573,840350,19,0,0.009392500000000002,0.0035575,2.657686
574,862486,1,0,0.007907,0.006132500000000001,1.289464
575,864092,16,0,0.008166,0.0033065000000000004,2.5341385
576,896148,47,0,0.010252500000000001,0.005895,1.741203
577,897121,60,0,0.0103805,0.0074935,1.397637
578,900944,50,0,0.011446000000000001,0.0066165,1.745906
579,903556,64,0,0.010957000000000001,0.0073705,1.485616
580,905446,32,0,0.0103825,0.004557,2.278499
581,912699,60,0,0.010665000000000001,0.007523,1.4273449999999999
582,927523,33,0,0.009152,0.0049595,1.8494085
583,951251,45,0,0.0095345,0.005923,1.6173305
584,952699,48,0,0.009514499999999999,0.0062375,1.531572
585,958508,48,0,0.009642000000000001,0.0071915,1.3419475
586,962035,39,0,0.011335000000000001,0.006125500000000001,1.8567390000000001
587,970024,17,0,0.011241000000000001,0.0042125,2.7868744999999997
588,980906,25,0,0.0115145,0.0048625,2.4670375
589,994626,25,0,0.0101665,0.00446,2.2964425000000004
590,1001754,51,0,0.010349,0.0072755,1.4465295
591,1002543,17,0,0.0102785,0.0041069999999999995,2.5815685
592,1002780,48,0,0.010234,0.0068045,1.534636
593,1011433,3,0,0.010168,0.0045235,2.247916
594,1020319,12,0,0.010499999999999999,0.0043395,2.6626925
595,1032434,8,0,0.0106015,0.002792,3.913158
596,1036695,19,0,0.010756499999999999,0.0045635,2.471526
597,1043076,28,0,0.010898,0.0048389999999999996,2.2678495
598,1067318,43,0,0.0112915,0.006808,1.7126855
599,1068161,42,0,0.0112815,0.0061275,1.8483625
600,1090365,24,0,0.011518,0.0046905,2.492229
601,1096937,11,0,0.0116055,0.0041075,3.007429
602,1114996,54,0,0.0104845,0.007064,1.489239
603,1122285,17,0,0.0108725,0.00551,1.9797660000000001
604,1126140,37,0,0.010465499999999999,0.00596,1.7809240000000002
605,1130992,2,0,0.010262,0.004672,2.204509
606,1138230,56,0,0.0127275,0.00802,1.597993
607,1143865,36,0,0.0123265,0.005799,2.1468485
608,1185040,4,0,0.011266,0.0031869999999999997,3.56848
609,1198946,54,0,0.011608,0.0073205,1.5916305
610,1199471,47,0,0.011571499999999998,0.007307,1.6145909999999999
611,1199841,38,0,0.011606,0.0068115,1.7609575
612,1201549,9,0,0.0115645,0.0033895,3.466945
613,1229370,8,0,0.0133695,0.0027470000000000003,4.8672955
614,1268211,20,0,0.012532999999999999,0.004503,2.8089005
615,1285178,54,0,0.0129315,0.008365000000000001,1.558243
616,1298774,13,0,0.0130155,0.0040625,3.2603055000000003
617,1359704,14,0,0.016451,0.0050205,3.5814464999999998
618,1361002,49,0,0.0138915,0.0072045,1.9292875
619,1367514,31,0,0.0141095,0.0052895,2.6679934999999997
620,1388624,35,0,0.0128295,0.0074294999999999995,1.7707695
621,1426827,27,0,0.015029,0.0049689999999999995,3.024713
622,1431016,35,0,0.0150755,0.0081485,1.8582635
623,1432004,38,0,0.015001500000000001,0.006388,2.3548894999999996
624,1435894,32,0,0.015332499999999999,0.006385,2.424226
625,1459027,49,0,0.013847,0.007353500000000001,1.886229
626,1459199,46,0,0.0138995,0.007784000000000001,1.785666
627,1479263,51,0,0.014269,0.0081385,1.8077435
628,1487250,52,0,0.0157515,0.0090655,1.76681
629,1522489,50,0,0.014801499999999999,0.008192,1.8234110000000001
630,1547878,12,0,0.015549,0.004274999999999999,3.6391080000000002
631,1563978,44,0,0.015438,0.008324999999999999,1.885202
632,1584359,44,0,0.0155455,0.008159,1.905483
633,1605881,48,0,0.01604,0.008147999999999999,1.9714645
634,1644312,18,0,0.014932500000000001,0.006581,2.359463
635,1646771,39,0,0.014974000000000001,0.007581,1.9918335
636,1656233,38,0,0.0151595,0.0069905,2.1746345
637,1671148,48,0,0.019548999999999997,0.0096965,2.016617
638,1686604,3,0,0.016878999999999998,0.004989,3.383344
