Index,ProblemSize,Threads,Operation,AvgSqTime,AvgParTime,AvgSpeedup
170,7663,52,1,6.95e-05,0.005455,0.0127475
171,7726,14,1,6.8e-05,0.0012575,0.054231
172,7756,27,1,6.85e-05,0.002339,0.0292275
173,7778,39,1,6.95e-05,0.0033794999999999997,0.0204605
174,7817,54,1,6.95e-05,0.005325,0.0131835
175,8036,15,1,7.1e-05,0.0012835,0.0554295
176,8153,64,1,7.549999999999999e-05,0.0066445,0.0113815
177,8280,28,1,8.549999999999999e-05,0.0024165000000000002,0.035298500000000003
178,8280,58,1,7.35e-05,0.0054564999999999995,0.013548999999999999
179,8397,9,1,7.45e-05,0.0008274999999999999,0.0898
180,8433,19,1,7.4e-05,0.001641,0.0452425
181,8496,45,1,7.549999999999999e-05,0.004005,0.0189315
182,8562,42,1,7.6e-05,0.00362,0.020937499999999998
183,8597,59,1,8.95e-05,0.0059665,0.0149855
184,8650,47,1,7.6e-05,0.004991,0.0151775
185,8678,42,1,9.2e-05,0.0040345,0.023851499999999998
186,8786,33,1,7.950000000000001e-05,0.0029820000000000003,0.026618000000000003
187,8825,21,1,8.35e-05,0.001848,0.045236
188,8903,52,1,8.549999999999999e-05,0.005346,0.015934999999999998
189,8988,4,1,8.4e-05,0.00046750000000000003,0.18032700000000002
190,8996,13,1,8.45e-05,0.0011819999999999999,0.071397
191,9014,34,1,9.6e-05,0.0030405,0.031392
192,9254,40,1,9.5e-05,0.0035635,0.026726
193,9467,2,1,9.55e-05,0.0002565,0.3735995
194,9550,35,1,9.65e-05,0.003345,0.029082499999999997
195,9579,13,1,0.00011649999999999999,0.001157,0.101404
196,9755,35,1,0.000105,0.002983,0.035272
197,9800,9,1,0.000101,0.000824,0.12264800000000001
198,10032,4,1,0.0001065,0.00042699999999999997,0.25005299999999997
199,10453,10,1,0.0001175,0.0009209999999999999,0.1272795
200,10482,55,1,0.0001415,0.005856,0.024093
201,10563,16,1,0.000121,0.001412,0.0854265
202,10817,12,1,0.0001365,0.001087,0.1256775
203,10937,61,1,0.0001505,0.0063715,0.023587
204,11065,20,1,0.00013250000000000002,0.0017165,0.07725399999999999
205,11075,28,1,0.000149,0.002386,0.0624255
206,11115,53,1,0.000138,0.0049705,0.0278055
207,11172,19,1,0.00014350000000000002,0.0016619999999999998,0.086362
208,11197,40,1,0.00015900000000000002,0.0039475,0.0406415
209,11379,13,1,0.000144,0.0011970000000000001,0.1205075
210,11442,11,1,0.000171,0.0009345,0.1830835
211,11769,46,1,0.00015549999999999999,0.0040675,0.0381575
